Common Name,3d model,voxel model,example coords
Green Alkanet,,,
Common Milkwort,,,
Selfheal,,,
Greater Stitchwort,,,
Common Water-crowfoot,,,
Marsh Horsetail,,,
Broom,,,
Common Fleabane,,,
Thrift (Sea Pink),,,
Marsh-marigold,,,
Common Centaury,,,
Cats-ear,,,
Common Toadflax,,,
Meadow Cranes-bill,,,
Yellow Archangel,,,
Common Valerian,,,
White Dead-nettle,,,
Yellow Flag Iris,,,
Common Spotted Orchid,,,
Sea Holly,,,
Great Burnet,,,
Common Honeysuckle,,,
Marsh Violet,,,
Wild Parsnip,,,
Purple Loosestrife,,,
Common Mouse-ear,,,
Common Bistort,,,
Sneezewort,,,
Wood Avens,,,
Wild Clary,,,
Marsh Woundwort,,,
Meadowsweet,,,
Wild Angelica,,,
Yellow Rattle,,,
Wild Thyme,,,
Common Hemp-nettle,,,
Eyebright,,,
Wild Garlic (Crow Garlic),,,
Meadow Vetchling,,,
Harebell,,,
Common Knapweed,,,
Betony,,,
Wild Basil,,,
Dogwood,,,
Wild Marjoram,,,
Greater Knapweed,,,
Wild Carrot,,,
Wild Strawberry,,,
Primrose,,,
Water Mint,,,
Marsh Cinquefoil,,,
Herb Robert,,,
Common Mallow,,,
Wood Sorrel,,,
Ladys Bedstraw,,,
Bugle,,,
Wild Pansy (Heartsease),,,
Wood Anemone,,,
Cornflower,,,
Red Campion,,,
Hogweed,,,
